grass_region,cb_level1_global_be_category,level2_global_be_category,level3_global_be_category,grass_month,gmv_usd,orders
SG,Stationery,Notebooks & Papers,Art Paper & Boards,2025-01-01 00:00:00,12000.50,800
SG,Stationery,Notebooks & Papers,Art Paper & Boards,2025-02-01 00:00:00,13500.75,920
SG,Stationery,Notebooks & Papers,Book Covers,2025-01-01 00:00:00,5400.00,410
SG,Stationery,Notebooks & Papers,Book Covers,2025-02-01 00:00:00,6100.25,455
SG,Stationery,Notebooks & Papers,Others,2025-03-01 00:00:00,3200.10,210
SG,Stationery,Art Supplies,Sketch Books,2025-04-01 00:00:00,8900.00,620
SG,Stationery,Letters & Envelopes,Envelopes,2025-05-01 00:00:00,2100.80,180
SG,Stationery,Notebooks & Papers,Art Paper & Boards,2025-06-01 00:00:00,14200.00,980
MY,Stationery,Notebooks & Papers,Art Paper & Boards,2025-01-01 00:00:00,9800.00,700
ID,Stationery,Notebooks & Papers,Book Covers,2025-02-01 00:00:00,4500.00,330
